year,car_oem,car_make,vin_number,stock_number,kilometres,condition,body_style,engine,transmission,drive_train,doors,fuel_type,city_fuel,hwy_fuel,key_features,sale_price,original_price,discount_price
2021,Ford,EcoSport SE FWD NAVI BACK UP CAM 17S WHITE DIAMOND,maj3s2ge0mc408707,C408707,25,New,SUV,3 Cylinder Engine,6 Speed Automatic,FWD,4,Gas,8.6,8.1,"KEY FEATURES: 2021 Ecosport SE model, front-wheel drive, 1.0L engine, White metallic, unique black cloth interior, 6-speed automatic transmission, navigation with touch screen, SE convenience package, sync 3, reverse camera, the senses, 17 inch wheels, Appearance package, MYkey, remote keyless entry, Ford pass, hill hold assist, intelligent access, electronic automatic temperature control, engine block heater, power windows power locks and more.
Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!
** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance & Non-stackable where applicable
Read Less ",29899,Missing Value,Missing Value
2020,Ford,"Fusion SE, MOONROOF, ADAPTIVE CRUISE, NAVIGATION",3FA6P0HD7LR142014,R142014,22,New,Sedan,4 Cylinder Engine,Black,6 Speed Automatic,FWD,4,Gas,10,"KEY FEATURES: THIS 2020 FUSION SE, 18"" EBONY PAINTED ALUM WHEELS, POWER MOONROOF,ADAPTIVE CRUISE CONTROL,LANE KEEPING SYSTEM,NAVIGATION SYSTEM,BLIND SPOT DETECTION, DAYTIME RUNNING LIGHTS, RAIN SENSING WIPERS, POWER SEAT, HEATED FRONT SEATS, SIRIUSXM® SATELLITE RADIO W/ 6-MONTH PREPAID SUBSCRIPTION, A/C, DUAL ZONE ELECTRONIC, CRUISE CONTROL, FORDPASS CONNECT, REMOTE KEYLESS ENTRY, REVERSE CAMERA SYSTEM, REVERSE SENSING SYSTEM, SYNC®
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",30285,32785,2500
2021,Ford,EcoSport SE 4WD 2.0L AWD NAVI APPEARANCE PACKAGE,MAJ6S3GL5MC410485,C410485,25,New,SUV,4 Cylinder Engine,6 Speed Automatic,4x4,4,Gas,10.2,8.1,"KEY FEATURES: 2021 Ecosport SE model, AWD, 2.0L engine, Silver  metallic, unique black cloth interior, 6-speed automatic transmission, navigation with touch screen, SE convenience package, sync 3, reverse camera, the senses, 17 inch wheels, Appearance package, MYkey, remote keyless entry, Ford pass, hill hold assist, intelligent access, electronic automatic temperature control, engine block heater, power windows power locks and more.
Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!
** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance & Non-stackable where applicable
Read Less ",32399,Missing Value,Missing Value
2021,Ford,Bronco Sport BASE 4X4 LANE KEEP SYNC BACK UP CAM,3fmcr9a66mra43091,RA43091,25,New,SUV,3 Cylinder Engine,8 Speed Automatic,4x4,4,Gas,Missing Value,Missing Value," KEY FEATURES: KEY FEATURES: 2021 Bronco Sport, Base, 5 passenger, 1 .5 L ecoboost engine, Grey, Black cloth interior, 8-speed automatic transmission, rain sense wipers, sync 3, reverse camera, Ford pass, Auto high beams, active Grille shutters, intelligent Access, Lane keep, Auto Stop Start power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!
Read Less ",34199,Missing Value,Missing Value
2021,Ford,"Escape SE AWD Navi, CO-PILOT 360 HEATED SEATS",1FMCU9G60MUA10828,UA10828,25,New,SUV,3 Cylinder Engine,8 Speed Automatic,AWD,4,Gas,8.9,7.6," KEY FEATURES: 2021 Escape, SE, BLACK, AWD, 1.5L engine, 8 speed auto, Cloth seats, Heated seats, Heated steering wheel, Navigation, Adaptive cruise, Co-pilot 360, Keyless entry, reverse backup camera, Remote start, Lane keeping system, Ford pass, SYNC, BLIS, Auto stop-start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",35599,37099,1500
2021,Ford,"Escape SE AWD Navi, CO-PILOT 360 HEATED SEATS",1FMCU9G65MUA05771,UA05771,25,New,SUV,3 Cylinder Engine,8 Speed Automatic,AWD,4,Gas,8.9,7.6," KEY FEATURES: 2021 Escape, SE, GOLD, AWD, 1.5L engine, 8 speed auto, Cloth seats, Heated seats, Heated steering wheel, Navigation, Adaptive cruise, Co-pilot 360, Keyless entry, reverse backup camera, Remote start, Lane keeping system, Ford pass, SYNC, BLIS, Auto stop-start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",35599,37099,1500
2020,Ford,Escape SEL AWD HEATED SEAT NAVI ROOF LOADED,1fmcu9h68luc32742,UC32742,25,New,SUV,4 Cylinder Engine,8 Speed Automatic,4x4,4,Gas,Missing Value,Missing Value," KEY FEATURES: 2020 Escape, SEL, White, AWD, 1.5L engine, 8 speed auto, Leather seats, Heated seats, Heated steering wheel, Panoramic roof, Navigation, Adaptive cruise, Keyless entry, reverse backup camera, Reverse sensors, Remote start, Lane keeping system, Ford pass, SYNC, BLIS, Auto stop-start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",35799,39799,4000
2021,Ford,Bronco Sport BIG BEND 4X4 HEATED SEATS REMOTE START,3FMCR9B62MRA27629,RA27629,25,New,SUV,3 Cylinder Engine,8 Speed Automatic,4x4,4,Gas,Missing Value,Missing Value," KEY FEATURES: KEY FEATURES: 2021 Bronco Sport Big Bend Edition, 5 passenger, 4X4, 1 .5 L ecoboost engine, Grey. Black cloth interior, 8-speed automatic transmission, rain sense wipers, sync 3, reverse camera, remote vehicle start, Collision assist Ford pass, heated seats, Auto high beams, active Grille shutters, power driver seat, intelligent Access, Lane keep, Auto Stop Start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",36199,Missing Value,Missing Value
2021,Ford,Escape SE AWD SPORT APPEARANCE NAVI 19IN WHEELS,1fmcu9g6xmua40483,UA40483,25,New,SUV,3 Cylinder Engine,8 Speed Automatic,AWD,4,Gas,8.9,7.6," KEY FEATURES: 2021 Escape, SE, Black, AWD, 1.5L engine, 8 speed auto, Cloth seats, Heated seats, Heated steering wheel, Sport Appearance package, Cold weather package, Convenience package, 19 inch wheels, Navigation, Adaptive cruise, Co-pilot 360, Keyless entry, reverse backup camera, Remote start, Lane keeping system, Ford pass, SYNC, BLIS, Auto stop-start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",36399,37899,1500
2021,Ford,Escape SE AWD SE SPORTS APPEARANCE 19S,1fmcu9g63mua41104,UA41104,25,New,SUV,3 Cylinder Engine,8 Speed Automatic,AWD,4,Gas,8.9,7.6," KEY FEATURES: 2021 Escape, SE, Gray, AWD, 1.5L engine, 8 speed auto, Cloth seats, Heated seats, Heated steering wheel, Navigation, Adaptive cruise, Co-pilot 360, Keyless entry, reverse backup camera, Remote start, Lane keeping system, Ford pass, SYNC, BLIS, Auto stop-start, power windows power locks and more.
 Please Call 519-756-6191, Email sales@brantcountyford.ca for more information and availability on this vehicle.  Brant County Ford is a family owned dealership and has been a proud member of the Brantford community for over 40 years!

** PURCHASE PRICE ONLY (Includes) Fords Delivery Allowance
Read Less ",36599,38099,1500
